aset,simbol,hashrate,durasi,est_reward,energi,tarif_listrik,total_biaya,tanggal
Bitcoin,BTC,270000000000000.0,8.0,6.75e-05,28.0,1700.0,47600.0,2026-06-16 04:09:17
Bitcoin,BTC,14500000000000.0,8.0,3.6250000000000004e-06,10.8,1700.0,18360.0,2026-06-16 04:10:46
